actor/alpha_mean,actor/alpha_mean_loss,actor/alpha_std,actor/alpha_std_loss,actor/kl_mean_loss,actor/kl_std_loss,actor/penalty_temperature,actor/policy_mean_loss,actor/policy_std_loss,actor/temperature,actor/temperature_loss,critic/loss,critic/q,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
0.39326057,-5.484144e-05,17.143753,-0.00093016156,0.006740271,0.0038445992,5.609807,2.8457062,2.8171802,1.7367889,127.63933,4.0276446,127.137535,0.9999999,0.1487607,-0.9999931,740,0.68188953,340,148.0,33,5,107.70886685876887,2438.484582424164,1060.3869192123414,217.89445066452026,5,784.9808679813386,0.13475485,186.53846153846155,2295.202202796936,1295.042416059054,618.4546527862549,26,432.18689513695614,730371.0,75.3665566444397,5000.0,892.101592540741,790001.0
0.38735253,1.47986975e-05,17.40504,-0.0009248703,0.006570195,0.0038837274,5.5934367,2.7397103,2.7112992,1.7517623,127.72505,4.1437325,127.202614,0.99999905,0.10459385,-0.99998,1231,0.6699234,334,246.2,168,5,69.82950665728636,2368.088230609894,1769.5218257904053,1236.8168048858643,5,459.2144801312892,0.13406415,176.89655172413794,2430.775631904602,1222.0471013825515,530.0024704933167,29,456.05854257019473,730400.0,76.27618837356567,5000.0,968.4841957092285,795001.0
0.38267142,-0.00011359309,17.626245,-0.0009780632,0.006619008,0.003974525,5.583715,2.6261036,2.597489,1.756459,127.71615,4.3397007,127.1773,0.99999964,0.117214575,-0.99999666,1327,0.6742546,464,265.4,101,5,116.98478533552985,3352.3767371177673,1875.079635334015,723.1358933448792,5,857.7978305907976,0.13226539,160.8709677419355,1744.7207050323486,1110.0065715697503,460.26973485946655,31,385.40651349122606,730431.0,76.83081412315369,5000.0,1045.4266288280487,800001.0
0.3869336,-2.1148842e-05,17.827183,-0.00097323675,0.00659902,0.0040038573,5.5709515,2.487581,2.4589407,1.7621174,127.7095,4.697669,127.169815,0.9999997,0.113943346,-0.9999849,1017,0.677636,273,203.4,140,5,43.449280776556016,1982.335533618927,1443.832770729065,977.5492734909058,5,327.19931029492886,0.13224864,172.44827586206895,2398.3801379203796,1182.2800972215061,682.3309688568115,29,348.43117054323557,730460.0,75.7516188621521,5000.0,1121.2875981330872,805001.0
0.3780202,5.6437802e-05,18.017048,-0.00095853023,0.0063699055,0.004021428,5.576895,2.3905354,2.3621492,1.7672603,127.61682,5.098777,127.088486,0.99999964,0.12798715,-0.99999297,1045,0.6809773,282,209.0,144,5,45.1840679886174,1920.7986493110657,1457.7382738113404,985.2849540710449,5,309.9554511646764,0.13141903,165.53333333333333,2065.627965927124,1141.2825196901956,614.5840311050415,30,382.50302276641344,730490.0,81.31347966194153,5000.0,1202.7090289592743,810001.0
0.36539885,2.3715344e-05,18.18779,-0.0009812645,0.0061880653,0.0040731886,5.5913305,2.3278837,2.2991765,1.7803267,127.53979,5.273646,127.004585,0.99999994,0.12134695,-0.9999904,997,0.6807748,312,199.4,20,5,98.95372655943787,2211.215156555176,1407.7132368087769,144.49525451660156,5,693.4693421232515,0.13562669,176.17857142857142,2316.9033846855164,1206.352913754327,612.680009841919,28,393.0948453059695,730518.0,75.25619077682495,5000.0,1278.0734415054321,815001.0
0.36100385,-1.9333458e-05,18.345243,-0.001013816,0.0061563994,0.0041325074,5.5904427,2.2440388,2.215312,1.7575133,127.505424,5.223591,126.97729,0.9999976,0.11020432,-0.9999939,869,0.67833936,264,173.8,4,5,90.16739987379032,1916.669352054596,1268.008885192871,30.61603593826294,5,660.167132117091,0.13928653,177.42857142857142,2755.3355894088745,1224.794471842902,713.9836401939392,28,423.60009965616774,730546.0,74.16607999801636,5000.0,1352.360285282135,820001.0
0.3547736,2.941066e-06,18.49696,-0.0010496357,0.0060282103,0.0041941185,5.5929766,2.168924,2.1405551,1.767702,127.51575,5.557986,126.972565,0.9999999,0.117567755,-0.99999624,1105,0.67760354,285,221.0,146,5,56.29564814441699,2092.8804893493652,1588.063362979889,1046.1597137451172,5,406.2157453333014,0.137094,168.06666666666666,2831.697998523712,1146.5596658229829,587.7548828125,30,493.25884902853863,730576.0,76.11794185638428,5000.0,1428.5875339508057,825001.0
0.34558898,7.2840536e-05,18.64861,-0.0010756837,0.0058021727,0.004245947,5.6033354,2.0500484,2.0213592,1.7599694,127.48195,5.5810595,126.95325,0.9999998,0.1156485,-0.99999845,1160,0.6748025,466,232.0,103,5,125.79984101738762,3445.369658470154,1673.9072046279907,730.5021567344666,5,946.3764750654715,0.12742534,179.10714285714286,2651.5649995803833,1237.4192829813276,599.0692367553711,28,482.23416812976234,730604.0,75.89264965057373,5000.0,1504.5880024433136,830001.0
0.33413184,6.0789775e-05,18.78791,-0.0010641584,0.005619452,0.004258103,5.6140385,1.958657,1.9295875,1.7513586,127.42814,5.5952687,126.92064,0.9999999,0.11374288,-0.9999985,907,0.68174833,317,181.4,5,5,105.02875796656838,2342.2431292533875,1339.2512566566468,41.01862621307373,5,776.3781659760486,0.13442186,178.42857142857142,2470.6338629722595,1251.1253205537796,614.1155533790588,28,485.75525708030295,730632.0,75.96116518974304,5000.0,1580.6581938266754,835001.0
