actor/loss,critic/loss,critic/q1,critic/q2,test/action/max,test/action/mean,test/action/min,test/action/size,test/action/std,test/episode_length/max,test/episode_length/mean,test/episode_length/min,test/episode_length/size,test/episode_length/std,test/episode_score/max,test/episode_score/mean,test/episode_score/min,test/episode_score/size,test/episode_score/std,train/action,train/episode_length,train/episode_score/max,train/episode_score/mean,train/episode_score/min,train/episode_score/size,train/episode_score/std,train/episodes,train/epoch_seconds,train/epoch_steps,train/seconds,train/steps
-50.977367,26.764475,47.12646,47.129135,1.0,0.39660844,-1.0,132,0.8136117,132,132.0,132,1,0.0,638.2911424636841,638.2911424636841,638.2911424636841,1,0.0,-0.005610894747220822,23.32941176470588,190.9352297782898,116.54894790649413,78.61258506774902,85,27.818028787938843,85.0,16.182474851608276,2000.0,16.182474851608276,2000.0
-90.92188,13.5291815,76.43001,76.43142,1.0,0.45306143,-0.99999994,74,0.79682106,74,74.0,74,1,0.0,337.9349434375763,337.9349434375763,337.9349434375763,1,0.0,-0.0002577273029761526,24.82716049382716,230.92176342010498,125.01213816065847,83.18356561660767,81,39.47705623465463,166.0,26.14908456802368,2000.0,42.338627576828,4000.0
-102.16913,16.851267,83.03773,83.0369,1.0,0.3442772,-1.0,24,0.83241576,24,24.0,24,1,0.0,141.20748901367188,141.20748901367188,141.20748901367188,1,0.0,0.004121418418319485,24.146341463414632,244.79065608978271,121.06168959198928,78.16808128356934,82,36.898510650601686,248.0,26.841992378234863,2000.0,69.19326114654541,6000.0
-104.911766,21.58338,84.10847,84.10795,1.0,0.35073808,-1.0,54,0.8505201,54,54.0,54,1,0.0,259.09094429016113,259.09094429016113,259.09094429016113,1,0.0,0.003878190427519982,23.20689655172414,241.86840391159058,117.12908512422408,83.32547426223755,87,31.266273644954357,335.0,25.94735074043274,2000.0,95.15033316612244,8000.0
-106.791985,22.448637,84.50686,84.50756,1.0,0.29741868,-1.0,64,0.8816336,64,64.0,64,1,0.0,347.781023979187,347.781023979187,347.781023979187,1,0.0,0.002970243643260532,24.317073170731707,231.214195728302,122.11081423410555,83.27332353591919,82,33.01906126288685,417.0,26.510395765304565,2000.0,121.67290759086609,10000.0
-113.7621,19.048532,91.703545,91.703865,1.0,0.5314588,-1.0,13,0.7661233,13,13.0,13,1,0.0,69.06208229064941,69.06208229064941,69.06208229064941,1,0.0,0.35712909143103666,86.9090909090909,817.3965110778809,424.8702281713486,196.10795545578003,22,126.87584604560807,439.0,29.201733112335205,2000.0,150.88865756988525,12000.0
-138.52931,35.853962,112.61647,112.61464,1.0,0.36965173,-1.0,23,0.86494076,23,23.0,23,1,0.0,114.19437265396118,114.19437265396118,114.19437265396118,1,0.0,0.34127656,90.5909090909091,823.1304721832275,434.292104807767,273.5923681259155,22,128.96715747914232,461.0,30.50303626060486,2000.0,181.40514993667603,14000.0
-149.54808,50.043022,124.15124,124.15044,1.0,0.3413916,-1.0,39,0.88211906,39,39.0,39,1,0.0,221.64720249176025,221.64720249176025,221.64720249176025,1,0.0,0.30314,89.65217391304348,839.7634229660034,437.5083536479784,212.1040620803833,23,140.18760358732533,484.0,28.66514754295349,2000.0,210.08321833610535,16000.0
-156.21016,52.821587,132.33057,132.33098,1.0,0.11402966,-1.0,3,0.9075787,3,3.0,3,1,0.0,14.309148788452148,14.309148788452148,14.309148788452148,1,0.0,0.34009036,93.57142857142857,875.5320525169373,466.9062904516856,339.6592469215393,21,114.33108488137401,505.0,29.106055974960327,2000.0,239.1992428302765,18000.0
-160.94922,66.97206,139.26433,139.2652,1.0,0.34415945,-1.0,18,0.9011297,18,18.0,18,1,0.0,97.75221014022827,97.75221014022827,97.75221014022827,1,0.0,0.25713718,95.76190476190476,1044.6986174583435,471.4635494323004,302.2574806213379,21,168.28079073455925,526.0,29.50071406364441,2000.0,268.7132613658905,20000.0
-165.18922,71.24622,145.24892,145.24927,1.0,0.41374177,-1.0,105,0.8724397,105,105.0,105,1,0.0,479.11381673812866,479.11381673812866,479.11381673812866,1,0.0,0.29390606,103.1,943.7861070632935,506.1310641527176,315.0301856994629,20,168.35196009574867,546.0,29.366766452789307,2000.0,298.0929055213928,22000.0
-170.2988,69.20075,151.25655,151.25656,1.0,0.41643068,-1.0,9,0.85150605,9,9.0,9,1,0.0,49.6761589050293,49.6761589050293,49.6761589050293,1,0.0,0.32929045,104.05555555555556,764.9164752960205,498.6208951340781,340.9457006454468,18,105.73783115663585,564.0,29.316755056381226,2000.0,327.42184710502625,24000.0
-175.23766,82.284874,157.12715,157.12692,1.0,0.055643693,-1.0,16,0.9505835,16,16.0,16,1,0.0,60.10149645805359,60.10149645805359,60.10149645805359,1,0.0,0.31815633,121.76470588235294,1090.0209379196167,584.9358822738423,359.0817699432373,17,180.6223954459183,581.0,31.315793752670288,2000.0,358.74982833862305,26000.0
-177.77643,89.26673,160.81386,160.81354,1.0,0.31090406,-1.0,81,0.9147422,81,81.0,81,1,0.0,408.6787657737732,408.6787657737732,408.6787657737732,1,0.0,0.3099874,97.38095238095238,741.608971118927,468.8209812527611,274.3463695049286,21,132.04752464005324,602.0,28.51769709587097,2000.0,387.281530380249,28000.0
-179.56328,82.73297,163.69684,163.69455,1.0,0.34564152,-1.0,25,0.9015199,25,25.0,25,1,0.0,99.77609205245972,99.77609205245972,99.77609205245972,1,0.0,0.31401354,123.125,916.8958711624146,606.450060993433,359.8879466056824,16,159.53797873716192,618.0,28.03311824798584,2000.0,415.3259871006012,30000.0
-182.5489,78.242874,167.29372,167.29175,1.0,0.23496325,-1.0,195,0.9208859,195,195.0,195,1,0.0,980.863676071167,980.863676071167,980.863676071167,1,0.0,0.31712434,127.5,1036.7153024673462,618.0581117123365,388.8896975517273,16,153.56509072990826,634.0,28.95685315132141,2000.0,444.29246282577515,32000.0
-185.71765,75.07022,171.1348,171.13551,1.0,0.5054688,-1.0,64,0.82238215,64,64.0,64,1,0.0,318.54925298690796,318.54925298690796,318.54925298690796,1,0.0,0.28377053,139.64285714285714,964.8771872520447,686.829983149256,324.6753578186035,14,153.85471414171846,648.0,30.10091733932495,2000.0,474.404931306839,34000.0
-190.14697,76.97131,175.87375,175.87195,1.0,0.5023071,-1.0,45,0.82522327,45,45.0,45,1,0.0,227.23844003677368,227.23844003677368,227.23844003677368,1,0.0,0.29476613,153.84615384615384,1265.0153527259827,752.2144333032461,531.7048993110657,13,183.96223180807434,661.0,29.601625442504883,2000.0,504.01665902137756,36000.0
-194.7579,79.337456,180.768,180.76929,1.0,0.37271267,-1.0,135,0.8788075,135,135.0,135,1,0.0,627.8415236473083,627.8415236473083,627.8415236473083,1,0.0,0.3170901,157.30769230769232,1123.4359414577484,765.3876023842738,519.388261795044,13,189.25769654826428,674.0,30.329216241836548,2000.0,534.3553471565247,38000.0
-199.42781,82.75413,185.69156,185.6907,1.0,0.40994084,-1.0,62,0.8720359,62,62.0,62,1,0.0,261.62333965301514,261.62333965301514,261.62333965301514,1,0.0,0.32443044,130.13333333333333,799.1009011268616,630.1473627885183,408.86944675445557,15,120.27116893330538,689.0,29.336905479431152,2000.0,563.7032194137573,40000.0
-201.39905,90.839874,188.16208,188.1611,1.0,0.24368973,-1.0,46,0.93589866,46,46.0,46,1,0.0,234.37184286117554,234.37184286117554,234.37184286117554,1,0.0,0.3431223,140.78571428571428,1041.031635761261,675.9796573775155,440.48204374313354,14,163.55841190286148,703.0,29.417815685272217,2000.0,593.1326563358307,42000.0
-203.46266,95.28769,190.74496,190.74542,1.0,0.3773699,-1.0,141,0.87944174,141,141.0,141,1,0.0,712.1365065574646,712.1365065574646,712.1365065574646,1,0.0,0.3643582,151.76923076923077,1181.5109429359436,715.3272040807284,426.49525690078735,13,228.27579689682514,716.0,29.585320949554443,2000.0,622.727819442749,44000.0
-205.19803,92.748146,193.06049,193.05966,1.0,0.3920036,-1.0,103,0.8758209,103,103.0,103,1,0.0,455.1723623275757,455.1723623275757,455.1723623275757,1,0.0,0.3442548,159.3846153846154,1083.7798700332642,778.0541406227992,547.5061068534851,13,150.88246038505125,729.0,29.45814561843872,2000.0,652.1968078613281,46000.0
-207.86708,89.825,195.98149,195.98238,1.0,0.41613868,-1.0,22,0.85771716,22,22.0,22,1,0.0,115.90315580368042,115.90315580368042,115.90315580368042,1,0.0,0.33142862,161.16666666666666,1323.3826570510864,799.3426478703817,434.6372790336609,12,230.72036057992963,741.0,29.72061252593994,2000.0,681.929918050766,48000.0
-210.61125,104.39568,199.19444,199.19304,1.0,0.37633687,-1.0,263,0.8876646,263,263.0,263,1,0.0,1241.622320175171,1241.622320175171,1241.622320175171,1,0.0,0.3601522,149.0,1109.4527564048767,731.1186704976218,476.61068773269653,14,179.39605502262424,755.0,30.950558185577393,2000.0,712.8936443328857,50000.0
-213.37163,98.268234,202.23099,202.23181,1.0,0.3203366,-1.0,135,0.89439803,135,135.0,135,1,0.0,703.4750399589539,703.4750399589539,703.4750399589539,1,0.0,0.31983542,179.63636363636363,1331.7522110939026,885.4474379799583,612.5283756256104,11,221.14346580830747,766.0,30.547359228134155,2000.0,743.4543807506561,52000.0
-215.7663,99.52934,205.03433,205.0336,1.0,0.4062172,-1.0,43,0.8568506,43,43.0,43,1,0.0,173.5954785346985,173.5954785346985,173.5954785346985,1,0.0,0.32335958,177.36363636363637,1295.110475063324,881.5388401855122,617.0306577682495,11,210.5742034355964,777.0,29.67275381088257,2000.0,773.1382784843445,54000.0
-218.76288,104.8353,208.26157,208.26083,1.0,0.38466907,-1.0,42,0.88218725,42,42.0,42,1,0.0,185.71526908874512,185.71526908874512,185.71526908874512,1,0.0,0.32014468,193.5,1383.8861784934998,957.827514219284,500.08266735076904,10,265.7070480978824,787.0,29.197284698486328,2000.0,802.347002029419,56000.0
-220.88779,108.55066,210.74203,210.74268,1.0,0.3917543,-1.0,180,0.8638027,180,180.0,180,1,0.0,858.4249167442322,858.4249167442322,858.4249167442322,1,0.0,0.3013844,156.76923076923077,1789.753924369812,786.2862404493185,415.55275201797485,13,342.45577235419466,800.0,28.90132427215576,2000.0,831.2574772834778,58000.0
-224.10287,107.14877,214.10164,214.10019,1.0,0.3440737,-1.0,25,0.89482576,25,25.0,25,1,0.0,144.80457973480225,144.80457973480225,144.80457973480225,1,0.0,0.31207728,197.1,1260.2855138778687,945.8651739835739,683.1345477104187,10,212.37574877265428,810.0,31.759685516357422,2000.0,863.0315861701965,60000.0
-226.66379,115.33678,216.80487,216.80542,1.0,0.3557802,-1.0,178,0.8898793,178,178.0,178,1,0.0,835.1760816574097,835.1760816574097,835.1760816574097,1,0.0,0.3210363,211.6,1364.0716795921326,1039.0127359867097,535.6659741401672,10,276.98112224504143,820.0,30.225836038589478,2000.0,893.2683169841766,62000.0
-228.936,116.26456,219.24886,219.24857,1.0,0.3953256,-1.0,98,0.8672004,98,98.0,98,1,0.0,446.5365824699402,446.5365824699402,446.5365824699402,1,0.0,0.30451003,196.5,1459.2063250541687,953.7266869783401,505.0744605064392,10,338.01494031437363,830.0,30.469800233840942,2000.0,923.7483036518097,64000.0
-230.68217,118.56336,221.40984,221.40947,1.0,0.34371418,-1.0,4,0.85392445,4,4.0,4,1,0.0,23.185710430145264,23.185710430145264,23.185710430145264,1,0.0,0.3084342,239.125,1816.7955250740051,1206.184422135353,712.236894607544,8,336.1064602805089,838.0,30.02591300010681,2000.0,953.784417629242,66000.0
-233.3582,131.07753,224.27058,224.26833,1.0,0.30574593,-1.0,32,0.92101717,32,32.0,32,1,0.0,186.21132135391235,186.21132135391235,186.21132135391235,1,0.0,0.28028157,238.75,1979.0473742485046,1179.2925003170967,635.9895038604736,8,441.17157386700154,846.0,29.028368949890137,2000.0,982.8227725028992,68000.0
-236.9629,128.81395,227.99466,227.99582,1.0,0.3226254,-1.0,145,0.8979441,145,145.0,145,1,0.0,743.1361875534058,743.1361875534058,743.1361875534058,1,0.0,0.27460623,307.85714285714283,2271.4350924491882,1502.3953679289136,982.172200679779,7,413.07178174378805,853.0,30.987234115600586,2000.0,1013.8222489356995,70000.0
-240.46873,129.587,231.65358,231.65364,1.0,0.28894866,-1.0,110,0.9056254,110,110.0,110,1,0.0,567.3555235862732,567.3555235862732,567.3555235862732,1,0.0,0.30159724,254.0,1665.5409665107727,1238.9759189401354,712.5032780170441,7,327.5972948847872,860.0,33.342081785202026,2000.0,1047.1797354221344,72000.0
-244.54816,128.19476,235.72351,235.72197,1.0,0.27839866,-1.0,64,0.9066842,64,64.0,64,1,0.0,309.3491997718811,309.3491997718811,309.3491997718811,1,0.0,0.3019892,280.25,2671.5275225639343,1364.1416207551956,769.6366534233093,8,602.5689397051599,868.0,31.33279824256897,2000.0,1078.5236921310425,74000.0
-247.96284,131.10112,239.17593,239.17757,1.0,0.28837523,-1.0,501,0.8988319,501,501.0,501,1,0.0,2273.9551894664764,2273.9551894664764,2273.9551894664764,1,0.0,0.29160702,316.6666666666667,2086.178864479065,1533.2446151574452,700.3135099411011,6,458.6089070914407,874.0,31.35478401184082,2000.0,1109.8908116817474,76000.0
-251.2094,131.80994,242.5597,242.55739,1.0,0.30197567,-1.0,183,0.89114636,183,183.0,183,1,0.0,960.9340834617615,960.9340834617615,960.9340834617615,1,0.0,0.2937063,280.57142857142856,1805.5654516220093,1341.7249708516258,991.2590956687927,7,269.832550205774,881.0,31.86108160018921,2000.0,1141.7673132419586,78000.0
-254.2941,134.00826,245.69968,245.70107,1.0,0.42647406,-1.0,71,0.85108227,71,71.0,71,1,0.0,405.6533360481262,405.6533360481262,405.6533360481262,1,0.0,0.27447948,461.5,3301.330599308014,2259.3746218681335,1524.133653640747,4,646.9489969267258,885.0,29.83920645713806,2000.0,1171.6174125671387,80000.0
-257.71194,133.78581,249.22829,249.22807,1.0,0.4590163,-1.0,36,0.83458024,36,36.0,36,1,0.0,207.91805362701416,207.91805362701416,207.91805362701416,1,0.0,0.2775148,295.0,2890.285530567169,1493.7606767018635,432.52476596832275,6,858.7358353423685,891.0,32.05253481864929,2000.0,1203.6817951202393,82000.0
-261.5313,139.64981,253.11124,253.11008,1.0,0.37386814,-1.0,102,0.8760725,102,102.0,102,1,0.0,561.772442817688,561.772442817688,561.772442817688,1,0.0,0.26970568,703.6666666666666,4832.170014381409,3571.0493494669595,2110.652416229248,3,1119.9546962863008,894.0,30.339467763900757,2000.0,1234.043701171875,84000.0
-265.13226,140.31836,256.8777,256.8781,1.0,0.360736,-1.0,126,0.87479407,126,126.0,126,1,0.0,585.5531187057495,585.5531187057495,585.5531187057495,1,0.0,0.29914168,256.0,3327.2857065200806,1270.2000031206344,464.3355121612549,9,831.3907378951935,903.0,31.47851252555847,2000.0,1265.5345666408539,86000.0
-267.52386,153.83432,259.38416,259.3822,1.0,0.3097145,-1.0,51,0.911475,51,51.0,51,1,0.0,303.239688873291,303.239688873291,303.239688873291,1,0.0,0.28787416,261.0,1979.6406807899475,1345.4639424596514,778.1897592544556,7,415.0626796137392,910.0,31.46380853652954,2000.0,1297.010917186737,88000.0
-269.66928,158.16219,261.69522,261.69717,1.0,0.2703719,-1.0,578,0.8958835,578,578.0,578,1,0.0,2946.238320350647,2946.238320350647,2946.238320350647,1,0.0,0.2918104,296.1666666666667,3432.8588190078735,1504.5925594170888,441.3594970703125,6,959.2113990076908,916.0,29.359463453292847,2000.0,1326.3821454048157,90000.0
